,,,April 2016,,,,,,,,,,,,,,April 2016,,,,,,,,,,,,,,April 2016,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",,,,,,,,,,,,
358,"DUMINGAG, ZAMBOANGA DEL SUR",9,,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",,,,,,,,,,,,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",,,,,,,,,,,,
338,"STA. BARBARA - PANGASINAN, PANGASINAN",1,0.0,0.0,6.2,0.0,0.0,,,,,,6.2,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",,,,,,,,,,,,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",,,,,,,,,,,,6.2
353,"MALITBOG, SOUTHERN LEYTE",8,,,,,,,,,,,,353,"MALITBOG, SOUTHERN LEYTE","8",,,,,,,,,,,,353,"MALITBOG, SOUTHERN LEYTE","8",,,,,,,,,,,,
333,"BUCAY, ABRA",CAR,,,,,,,,,,,,333,"BUCAY, ABRA","CAR",,,,,,,,,,,,333,"BUCAY, ABRA","CAR",,,,,,,,,,,,
1080,"SABLAYAN, OCCIDENTAL MINDORO",4-B,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",0.0,0.0,12.4,28.6,0.0,11.4,0.0,0.0,0.0,0.0,52.4,1080,"SABLAYAN, OCCIDENTAL MINDORO","4-B",0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,,,1.4,54
365,"BANAYBANAY, DAVAO ORIENTAL",11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,365,"BANAYBANAY, DAVAO ORIENTAL","11",0.0,0.0,0.0,0.0,0.0,,,,,,0,365,"BANAYBANAY, DAVAO ORIENTAL","11",,,,,,,,,,,,0
867,"DANGCAGAN, BUKIDNON",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,867,"DANGCAGAN, BUKIDNON","10",11.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.8,0.0,13.8,867,"DANGCAGAN, BUKIDNON","10",0.0,8.6,0.0,8.6,5.2,0.0,15.8,3.2,10.4,2.6,54.4,74.8
319,"NAIC CAMPUS, CAVITE",4-A,,,,,,,,,,,,319,"NAIC CAMPUS, CAVITE","4-A",,,,,,,,,,,,319,"NAIC CAMPUS, CAVITE","4-A",,,,,,,,,,,,
502,"BAGABAG, NUEVA VIZCAYA",2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,502,"BAGABAG, NUEVA VIZCAYA","2",0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3,502,"BAGABAG, NUEVA VIZCAYA","2",0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.8,49.4,65.2,72.6
